shift,date,workers_present,total_pick,avg_pick_rate,demand_20pct,workers_required_20pct,workers_if_absent,throughput_if_absent,staffing_gap
Evening,2025-01-01,14,415.0,0.2857142857142857,498.0,218,13,29.71428571428571,204
Evening,2025-01-02,7,195.0,0.0,234.0,0,6,0.0,-7
Evening,2025-01-03,15,311.0,0.6177777777777778,373.2,76,14,69.19111111111111,61
Evening,2025-01-04,13,282.0,0.0,338.4,0,12,0.0,-13
Evening,2025-01-05,10,172.0,0.0,206.4,0,9,0.0,-10
Evening,2025-01-06,8,252.0,0.0,302.4,0,7,0.0,-8
Evening,2025-01-07,11,295.0,0.2727272727272727,354.0,163,10,21.818181818181817,152
Evening,2025-01-08,14,388.0,0.0,465.59999999999997,0,13,0.0,-14
Evening,2025-01-09,14,377.0,0.0,452.4,0,13,0.0,-14
Evening,2025-01-10,6,93.0,0.0,111.6,0,5,0.0,-6
Evening,2025-01-11,18,472.0,0.0,566.4,0,17,0.0,-18
Evening,2025-01-12,11,272.0,0.0,326.4,0,10,0.0,-11
Evening,2025-01-13,9,184.0,0.0,220.79999999999998,0,8,0.0,-9
Evening,2025-01-14,7,244.0,0.0,292.8,0,6,0.0,-7
Evening,2025-01-15,10,300.0,0.0,360.0,0,9,0.0,-10
Evening,2025-01-16,13,325.0,0.057692307692307696,390.0,845,12,5.538461538461538,832
Evening,2025-01-17,16,444.0,0.0,532.8,0,15,0.0,-16
Evening,2025-01-18,20,457.0,0.0,548.4,0,19,0.0,-20
Evening,2025-01-19,12,286.0,0.0,343.2,0,11,0.0,-12
Evening,2025-01-20,11,310.0,0.0,372.0,0,10,0.0,-11
Evening,2025-01-21,7,182.0,0.2285714285714286,218.4,120,6,10.971428571428572,113
Evening,2025-01-22,12,278.0,0.0,333.59999999999997,0,11,0.0,-12
Evening,2025-01-23,16,426.0,0.171875,511.2,372,15,20.625,356
Evening,2025-01-24,11,383.0,0.0,459.59999999999997,0,10,0.0,-11
Evening,2025-01-25,13,248.0,0.0,297.59999999999997,0,12,0.0,-13
Evening,2025-01-26,16,476.0,0.4583333333333333,571.1999999999999,156,15,55.0,140
Evening,2025-01-27,17,390.0,0.3697478991596639,468.0,159,16,47.32773109243698,142
Evening,2025-01-28,12,286.0,0.0,343.2,0,11,0.0,-12
Evening,2025-01-29,14,359.0,0.15079365079365079,430.8,358,13,15.682539682539682,344
Evening,2025-01-30,17,507.0,0.40196078431372545,608.4,190,16,51.45098039215686,173
Evening,2025-01-31,7,173.0,0.0,207.6,0,6,0.0,-7
Evening,2025-02-01,14,319.0,0.0,382.8,0,13,0.0,-14
Evening,2025-02-02,14,267.0,0.0,320.4,0,13,0.0,-14
Evening,2025-02-03,9,257.0,0.0,308.4,0,8,0.0,-9
Evening,2025-02-04,6,159.0,0.0,190.79999999999998,0,5,0.0,-6
Evening,2025-02-05,10,250.0,0.4871428571428572,300.0,77,9,35.07428571428572,67
Evening,2025-02-06,16,333.0,0.0,399.59999999999997,0,15,0.0,-16
Evening,2025-02-07,13,386.0,0.0,463.2,0,12,0.0,-13
Evening,2025-02-08,11,331.0,0.5909090909090909,397.2,85,10,47.27272727272727,74
Evening,2025-02-09,14,375.0,0.0,450.0,0,13,0.0,-14
Evening,2025-02-10,11,296.0,0.0,355.2,0,10,0.0,-11
Evening,2025-02-11,14,361.0,0.4107142857142857,433.2,132,13,42.714285714285715,118
Evening,2025-02-12,15,315.0,0.032407407407407406,378.0,1458,14,3.6296296296296293,1443
Evening,2025-02-13,10,187.0,0.0,224.4,0,9,0.0,-10
Evening,2025-02-14,6,146.0,0.0,175.2,0,5,0.0,-6
Evening,2025-02-15,18,432.0,0.020833333333333332,518.4,3111,17,2.833333333333333,3093
Evening,2025-02-16,8,191.0,0.0,229.2,0,7,0.0,-8
Evening,2025-02-17,12,406.0,0.0,487.2,0,11,0.0,-12
Evening,2025-02-18,12,310.0,0.0,372.0,0,11,0.0,-12
Evening,2025-02-19,12,297.0,0.6527777777777778,356.4,69,11,57.44444444444444,57
Evening,2025-02-20,12,361.0,0.5972222222222222,433.2,91,11,52.55555555555556,79
Evening,2025-02-21,8,227.0,0.0,272.4,0,7,0.0,-8
Evening,2025-02-22,16,407.0,0.0,488.4,0,15,0.0,-16
Evening,2025-02-23,13,227.0,0.24786324786324787,272.4,138,12,23.794871794871796,125
Evening,2025-02-24,17,447.0,0.0,536.4,0,16,0.0,-17
Evening,2025-02-25,8,238.0,1.5708333333333333,285.59999999999997,23,7,87.96666666666667,15
Evening,2025-02-26,14,356.0,0.0,427.2,0,13,0.0,-14
Evening,2025-02-27,18,492.0,0.3055555555555556,590.4,242,17,41.55555555555556,224
Evening,2025-02-28,13,342.0,0.0,410.4,0,12,0.0,-13
Evening,2025-03-01,13,352.0,0.4743589743589744,422.4,112,12,45.53846153846154,99
Evening,2025-03-02,11,307.0,0.0,368.4,0,10,0.0,-11
Evening,2025-03-03,15,418.0,0.0,501.59999999999997,0,14,0.0,-15
Evening,2025-03-04,14,367.0,0.0,440.4,0,13,0.0,-14
Evening,2025-03-05,12,215.0,0.0,258.0,0,11,0.0,-12
Evening,2025-03-06,12,364.0,0.0,436.8,0,11,0.0,-12
Evening,2025-03-07,7,216.0,0.375,259.2,87,6,18.0,80
Evening,2025-03-08,12,427.0,0.4259259259259259,512.4,151,11,37.481481481481474,139
Evening,2025-03-09,5,125.0,0.8400000000000001,150.0,23,4,26.880000000000003,18
Evening,2025-03-10,12,289.0,0.27777777777777773,346.8,157,11,24.44444444444444,145
Evening,2025-03-11,6,141.0,0.0,169.2,0,5,0.0,-6
Evening,2025-03-12,7,143.0,0.014285714285714287,171.6,1502,6,0.6857142857142857,1495
Evening,2025-03-13,8,192.0,0.0,230.39999999999998,0,7,0.0,-8
Evening,2025-03-14,10,307.0,0.0,368.4,0,9,0.0,-10
Evening,2025-03-15,14,337.0,0.0,404.4,0,13,0.0,-14
Evening,2025-03-16,12,251.0,0.2333333333333333,301.2,162,11,20.53333333333333,150
Evening,2025-03-17,13,390.0,0.0,468.0,0,12,0.0,-13
Evening,2025-03-18,11,333.0,0.0,399.59999999999997,0,10,0.0,-11
Evening,2025-03-19,17,353.0,0.265359477124183,423.59999999999997,200,16,33.966013071895425,183
Evening,2025-03-20,14,396.0,0.0,475.2,0,13,0.0,-14
Evening,2025-03-21,14,285.0,0.369047619047619,342.0,116,13,38.38095238095238,102
Evening,2025-03-22,14,270.0,0.0,324.0,0,13,0.0,-14
Evening,2025-03-23,12,270.0,0.0,324.0,0,11,0.0,-12
Evening,2025-03-24,12,315.0,0.0,378.0,0,11,0.0,-12
Evening,2025-03-25,16,379.0,0.0,454.8,0,15,0.0,-16
Evening,2025-03-26,9,252.0,0.0,302.4,0,8,0.0,-9
Evening,2025-03-27,18,547.0,0.28703703703703703,656.4,286,17,39.03703703703704,268
Evening,2025-03-28,8,181.0,0.0,217.2,0,7,0.0,-8
Evening,2025-03-29,13,363.0,0.0,435.59999999999997,0,12,0.0,-13
Evening,2025-03-30,12,274.0,0.15277777777777776,328.8,270,11,13.444444444444443,258
Evening,2025-03-31,7,203.0,0.0,243.6,0,6,0.0,-7
Evening,2025-04-01,13,306.0,0.0,367.2,0,12,0.0,-13
Evening,2025-04-02,15,258.0,0.09333333333333332,309.59999999999997,415,14,10.453333333333333,400
Evening,2025-04-03,10,240.0,0.11000000000000001,288.0,328,9,7.920000000000001,318
Evening,2025-04-04,14,346.0,0.0,415.2,0,13,0.0,-14
Evening,2025-04-05,12,297.0,0.0,356.4,0,11,0.0,-12
Evening,2025-04-06,12,335.0,0.0,402.0,0,11,0.0,-12
Evening,2025-04-07,11,205.0,0.4805194805194805,246.0,64,10,38.44155844155844,53
Evening,2025-04-08,14,426.0,0.24107142857142858,511.2,266,13,25.071428571428573,252
Evening,2025-04-09,15,353.0,0.0,423.59999999999997,0,14,0.0,-15
Evening,2025-04-10,13,283.0,0.3498168498168498,339.59999999999997,122,12,33.58241758241758,109
Evening,2025-04-11,17,376.0,0.0,451.2,0,16,0.0,-17
Evening,2025-04-12,13,273.0,0.0,327.59999999999997,0,12,0.0,-13
Evening,2025-04-13,10,263.0,0.06,315.59999999999997,658,9,4.32,648
Evening,2025-04-14,9,251.0,0.0,301.2,0,8,0.0,-9
Evening,2025-04-15,15,446.0,0.0,535.1999999999999,0,14,0.0,-15
Evening,2025-04-16,17,353.0,0.0,423.59999999999997,0,16,0.0,-17
Evening,2025-04-17,14,357.0,0.0,428.4,0,13,0.0,-14
Evening,2025-04-18,7,188.0,0.0,225.6,0,6,0.0,-7
Evening,2025-04-19,9,242.0,0.0,290.4,0,8,0.0,-9
Evening,2025-04-20,13,433.0,0.0,519.6,0,12,0.0,-13
Evening,2025-04-21,16,393.0,0.0,471.59999999999997,0,15,0.0,-16
Evening,2025-04-22,17,495.0,0.25882352941176473,594.0,287,16,33.129411764705885,270
Evening,2025-04-23,7,180.0,0.0,216.0,0,6,0.0,-7
Evening,2025-04-24,13,351.0,0.0,421.2,0,12,0.0,-13
Evening,2025-04-25,9,259.0,0.0,310.8,0,8,0.0,-9
Evening,2025-04-26,13,342.0,0.0,410.4,0,12,0.0,-13
Evening,2025-04-27,13,332.0,0.4945054945054945,398.4,101,12,47.472527472527474,88
Evening,2025-04-28,12,264.0,0.0,316.8,0,11,0.0,-12
Evening,2025-04-29,16,421.0,0.0,505.2,0,15,0.0,-16
Evening,2025-04-30,14,372.0,0.7142857142857143,446.4,79,13,74.28571428571429,65
Evening,2025-05-01,14,390.0,0.511904761904762,468.0,115,13,53.23809523809525,101
Evening,2025-05-02,19,532.0,0.0,638.4,0,18,0.0,-19
Evening,2025-05-03,8,201.0,0.2361111111111111,241.2,128,7,13.222222222222221,120
Evening,2025-05-04,16,458.0,0.1796875,549.6,383,15,21.5625,367
Evening,2025-05-05,15,399.0,0.0,478.79999999999995,0,14,0.0,-15
