log_id,worker_id,shift,login_time,logout_time,shift_hours
LOG200001,W0401,Morning,2025-05-31 01:49:00,2025-05-31 09:49:00,8.0
LOG200002,W0070,Evening,2025-01-03 20:19:00,2025-01-04 05:19:00,9.0
LOG200003,W0190,Morning,2025-01-28 20:55:00,2025-01-29 04:55:00,8.0
LOG200004,W0364,Night,2025-06-28 01:29:00,2025-06-28 11:29:00,10.0
LOG200005,W0123,Night,2025-06-07 02:03:00,2025-06-07 09:03:00,7.0
LOG200006,W0138,Night,2025-02-27 04:00:00,2025-02-27 14:00:00,10.0
LOG200007,W0254,Morning,2025-01-20 14:45:00,2025-01-20 23:45:00,9.0
LOG200010,W0360,Morning,2025-05-08 22:15:00,2025-05-09 08:15:00,10.0
LOG200011,W0443,Morning,2025-02-07 08:51:00,2025-02-07 16:51:00,8.0
LOG200012,W0441,Night,2025-02-26 00:42:00,2025-02-26 10:42:00,10.0
LOG200015,W0463,Night,2025-04-06 05:45:00,2025-04-06 14:45:00,9.0
LOG200016,W0054,Evening,2025-05-24 01:56:00,2025-05-24 09:56:00,8.0
LOG200017,W0107,Night,2025-04-19 00:46:00,2025-04-19 07:46:00,7.0
LOG200018,W0217,Night,2025-03-09 14:10:00,2025-03-09 20:10:00,6.0
LOG200020,W0229,Night,2025-01-26 19:33:00,2025-01-27 01:33:00,6.0
LOG200021,W0493,Evening,2025-02-04 14:39:00,2025-02-04 20:39:00,6.0
LOG200022,W0265,Evening,2025-05-09 11:27:00,2025-05-09 20:27:00,9.0
LOG200024,W0289,Evening,2025-02-18 05:57:00,2025-02-18 15:57:00,10.0
LOG200027,W0126,Evening,2025-06-05 04:17:00,2025-06-05 13:17:00,9.0
LOG200028,W0216,Morning,2025-01-29 08:32:00,2025-01-29 16:32:00,8.0
LOG200030,W0007,Night,2025-02-01 02:24:00,2025-02-01 11:24:00,9.0
LOG200031,W0167,Night,2025-04-16 22:47:00,2025-04-17 07:47:00,9.0
LOG200032,W0445,Evening,2025-03-21 16:36:00,2025-03-21 23:36:00,7.0
LOG200033,W0229,Evening,2025-01-31 21:07:00,2025-02-01 03:07:00,6.0
LOG200034,W0253,Night,2025-01-05 00:31:00,2025-01-05 08:31:00,8.0
LOG200035,W0339,Night,2025-01-02 21:13:00,2025-01-03 04:13:00,7.0
LOG200037,W0069,Morning,2025-04-01 13:49:00,2025-04-01 22:49:00,9.0
LOG200039,W0178,Night,2025-01-30 17:15:00,2025-01-31 00:15:00,7.0
LOG200040,W0306,Night,2025-05-09 17:27:00,2025-05-09 23:27:00,6.0
LOG200041,W0215,Morning,2025-05-02 02:32:00,2025-05-02 08:32:00,6.0
LOG200042,W0498,Night,2025-05-07 08:50:00,2025-05-07 16:50:00,8.0
LOG200043,W0426,Night,2025-05-20 05:00:00,2025-05-20 14:00:00,9.0
LOG200044,W0218,Night,2025-04-16 07:23:00,2025-04-16 13:23:00,6.0
LOG200045,W0299,Morning,2025-01-02 10:51:00,2025-01-02 20:51:00,10.0
LOG200046,W0326,Night,2025-06-14 12:24:00,2025-06-14 21:24:00,9.0
LOG200048,W0354,Morning,2025-06-17 19:59:00,2025-06-18 04:59:00,9.0
LOG200049,W0330,Morning,2025-03-07 14:35:00,2025-03-07 20:35:00,6.0
LOG200053,W0151,Morning,2025-05-24 14:11:00,2025-05-24 23:11:00,9.0
LOG200054,W0318,Morning,2025-04-14 11:54:00,2025-04-14 18:54:00,7.0
LOG200056,W0019,Morning,2025-01-11 05:48:00,2025-01-11 11:48:00,6.0
LOG200058,W0337,Night,2025-02-04 18:37:00,2025-02-05 02:37:00,8.0
LOG200059,W0277,Night,2025-04-26 00:56:00,2025-04-26 06:56:00,6.0
LOG200060,W0231,Evening,2025-01-08 08:24:00,2025-01-08 17:24:00,9.0
LOG200061,W0176,Morning,2025-01-28 13:17:00,2025-01-28 20:17:00,7.0
LOG200062,W0265,Evening,2025-02-04 11:29:00,2025-02-04 18:29:00,7.0
LOG200063,W0213,Morning,2025-04-19 08:02:00,2025-04-19 18:02:00,10.0
LOG200065,W0036,Morning,2025-02-02 11:19:00,2025-02-02 19:19:00,8.0
LOG200066,W0028,Night,2025-02-27 20:03:00,2025-02-28 02:03:00,6.0
LOG200067,W0436,Night,2025-03-19 09:19:00,2025-03-19 15:19:00,6.0
LOG200068,W0159,Night,2025-03-19 13:44:00,2025-03-19 20:44:00,7.0
LOG200069,W0075,Night,2025-01-16 07:57:00,2025-01-16 15:57:00,8.0
LOG200071,W0124,Evening,2025-04-22 09:10:00,2025-04-22 17:10:00,8.0
LOG200072,W0022,Night,2025-03-26 19:47:00,2025-03-27 01:47:00,6.0
LOG200073,W0425,Morning,2025-01-29 18:04:00,2025-01-30 02:04:00,8.0
LOG200074,W0242,Night,2025-03-14 07:54:00,2025-03-14 15:54:00,8.0
LOG200075,W0133,Evening,2025-05-23 11:02:00,2025-05-23 19:02:00,8.0
LOG200076,W0360,Night,2025-01-01 11:52:00,2025-01-01 17:52:00,6.0
LOG200077,W0348,Night,2025-06-07 16:57:00,2025-06-07 23:57:00,7.0
LOG200078,W0394,Night,2025-02-05 11:54:00,2025-02-05 20:54:00,9.0
LOG200080,W0373,Night,2025-06-08 16:39:00,2025-06-08 22:39:00,6.0
LOG200082,W0056,Night,2025-01-22 14:06:00,2025-01-22 21:06:00,7.0
LOG200083,W0382,Night,2025-06-10 22:58:00,2025-06-11 08:58:00,10.0
LOG200084,W0379,Morning,2025-05-30 04:34:00,2025-05-30 12:34:00,8.0
LOG200085,W0468,Morning,2025-01-23 19:30:00,2025-01-24 03:30:00,8.0
LOG200086,W0032,Night,2025-02-24 08:15:00,2025-02-24 18:15:00,10.0
LOG200087,W0076,Morning,2025-02-15 15:56:00,2025-02-16 01:56:00,10.0
LOG200088,W0110,Night,2025-03-17 17:39:00,2025-03-18 02:39:00,9.0
LOG200089,W0377,Night,2025-06-16 15:36:00,2025-06-17 01:36:00,10.0
LOG200091,W0262,Night,2025-04-05 13:31:00,2025-04-05 23:31:00,10.0
LOG200092,W0403,Evening,2025-03-05 22:07:00,2025-03-06 06:07:00,8.0
LOG200093,W0306,Night,2025-02-12 01:06:00,2025-02-12 11:06:00,10.0
LOG200094,W0206,Morning,2025-02-05 13:30:00,2025-02-05 22:30:00,9.0
LOG200095,W0248,Night,2025-06-08 15:48:00,2025-06-09 00:48:00,9.0
LOG200096,W0228,Evening,2025-01-09 21:48:00,2025-01-10 06:48:00,9.0
LOG200097,W0168,Night,2025-01-24 15:11:00,2025-01-24 21:11:00,6.0
LOG200098,W0433,Evening,2025-01-29 15:09:00,2025-01-29 23:09:00,8.0
LOG200099,W0062,Morning,2025-01-16 13:24:00,2025-01-16 20:24:00,7.0
LOG200100,W0348,Evening,2025-06-06 07:11:00,2025-06-06 15:11:00,8.0
LOG200102,W0080,Morning,2025-02-18 08:36:00,2025-02-18 16:36:00,8.0
LOG200104,W0229,Night,2025-01-18 13:49:00,2025-01-18 23:49:00,10.0
LOG200105,W0354,Night,2025-03-13 10:09:00,2025-03-13 19:09:00,9.0
LOG200106,W0139,Morning,2025-06-15 22:29:00,2025-06-16 04:29:00,6.0
LOG200107,W0217,Night,2025-04-16 14:31:00,2025-04-16 21:31:00,7.0
LOG200109,W0402,Morning,2025-05-22 21:46:00,2025-05-23 03:46:00,6.0
LOG200112,W0489,Evening,2025-04-10 06:19:00,2025-04-10 16:19:00,10.0
LOG200114,W0261,Night,2025-03-02 20:15:00,2025-03-03 05:15:00,9.0
LOG200117,W0425,Morning,2025-05-23 01:17:00,2025-05-23 10:17:00,9.0
LOG200118,W0419,Morning,2025-03-01 15:39:00,2025-03-02 00:39:00,9.0
LOG200119,W0216,Night,2025-05-04 16:17:00,2025-05-04 23:17:00,7.0
LOG200121,W0162,Morning,2025-04-13 18:30:00,2025-04-14 03:30:00,9.0
LOG200122,W0485,Morning,2025-06-12 13:28:00,2025-06-12 22:28:00,9.0
LOG200123,W0169,Night,2025-05-07 09:24:00,2025-05-07 15:24:00,6.0
LOG200124,W0373,Night,2025-04-16 07:40:00,2025-04-16 15:40:00,8.0
LOG200126,W0352,Night,2025-01-28 18:23:00,2025-01-29 01:23:00,7.0
LOG200128,W0220,Night,2025-06-21 11:59:00,2025-06-21 21:59:00,10.0
LOG200131,W0103,Night,2025-06-09 17:53:00,2025-06-10 01:53:00,8.0
LOG200133,W0305,Morning,2025-02-21 20:45:00,2025-02-22 04:45:00,8.0
LOG200134,W0132,Morning,2025-01-14 08:33:00,2025-01-14 17:33:00,9.0
LOG200135,W0184,Morning,2025-03-08 16:48:00,2025-03-09 00:48:00,8.0
LOG200136,W0110,Morning,2025-02-23 23:34:00,2025-02-24 08:34:00,9.0
LOG200137,W0032,Morning,2025-06-07 23:23:00,2025-06-08 07:23:00,8.0
