worker_id,date,total_pick,total_error,operations,shift_hours,pick_rate,error_rate
W0001,2025-01-13,14.0,1,1,0.0,0.0,1.0
W0001,2025-03-11,45.0,1,2,0.0,0.0,0.5
W0001,2025-03-17,25.0,1,1,0.0,0.0,1.0
W0001,2025-04-13,19.0,1,1,0.0,0.0,1.0
W0001,2025-04-16,20.0,1,1,0.0,0.0,1.0
W0001,2025-04-21,18.0,1,1,0.0,0.0,1.0
W0002,2025-04-27,4.0,1,1,0.0,0.0,1.0
W0002,2025-06-16,5.0,1,1,0.0,0.0,1.0
W0003,2025-01-07,11.0,1,1,0.0,0.0,1.0
W0003,2025-03-12,30.0,1,1,0.0,0.0,1.0
W0003,2025-05-09,24.0,1,1,0.0,0.0,1.0
W0003,2025-05-17,3.0,1,1,0.0,0.0,1.0
W0003,2025-06-14,28.0,1,1,9.0,3.111111111111111,1.0
W0004,2025-01-24,10.0,1,1,0.0,0.0,1.0
W0004,2025-03-20,31.0,1,1,0.0,0.0,1.0
W0004,2025-04-22,29.0,1,1,0.0,0.0,1.0
W0004,2025-04-28,47.0,1,1,0.0,0.0,1.0
W0004,2025-06-14,37.0,1,1,0.0,0.0,1.0
W0004,2025-06-29,36.0,1,1,6.0,6.0,1.0
W0005,2025-01-23,38.0,1,1,0.0,0.0,1.0
W0005,2025-03-02,19.0,1,1,7.0,2.7142857142857144,1.0
W0005,2025-03-09,7.0,1,1,0.0,0.0,1.0
W0005,2025-06-17,49.0,1,1,0.0,0.0,1.0
W0006,2025-01-17,49.0,1,1,0.0,0.0,1.0
W0006,2025-01-20,6.0,1,1,9.0,0.6666666666666666,1.0
W0006,2025-02-24,35.0,1,2,0.0,0.0,0.5
W0006,2025-03-06,26.0,1,1,9.0,2.888888888888889,1.0
W0006,2025-04-26,51.0,1,2,0.0,0.0,0.5
W0006,2025-05-22,23.0,1,1,0.0,0.0,1.0
W0006,2025-06-13,22.0,1,1,0.0,0.0,1.0
W0006,2025-06-17,41.0,1,1,0.0,0.0,1.0
W0007,2025-01-16,23.0,1,1,0.0,0.0,1.0
W0007,2025-03-30,84.0,2,2,0.0,0.0,1.0
W0007,2025-04-16,26.0,1,1,0.0,0.0,1.0
W0007,2025-05-05,40.0,1,1,9.0,4.444444444444445,1.0
W0008,2025-02-12,14.0,1,1,0.0,0.0,1.0
W0008,2025-03-24,35.0,1,1,0.0,0.0,1.0
W0008,2025-05-10,3.0,1,1,0.0,0.0,1.0
W0008,2025-06-07,40.0,1,1,6.0,6.666666666666667,1.0
W0008,2025-06-15,46.0,1,1,0.0,0.0,1.0
W0009,2025-01-07,54.0,1,2,0.0,0.0,0.5
