operation_id,date,worker_id,shift_id,zone,items_picked,error_count
OP100000,2025-02-23,W0243,S1,E,19.0,0
OP100002,2025-01-03,W0263,S2,B,9.0,0
OP100003,2025-01-28,W0415,S2,D,34.0,0
OP100011,2025-02-07,W0108,S2,B,49.0,0
OP100012,2025-02-26,W0391,S2,D,11.0,1
OP100014,2025-06-12,W0274,S2,C,8.0,0
OP100015,2025-04-06,W0233,S2,E,1.0,1
OP100016,2025-05-24,W0027,S1,E,27.0,1
OP100017,2025-04-19,W0256,S3,A,24.0,0
OP100018,2025-03-09,W0100,S1,C,26.0,1
OP100020,2025-01-26,W0468,S3,A,2.0,0
OP100022,2025-05-09,W0087,S2,C,9.0,1
OP100024,2025-02-18,W0481,S2,B,7.0,0
OP100026,2025-06-28,W0286,S3,B,17.0,0
OP100028,2025-01-29,W0016,S2,E,30.0,1
OP100030,2025-02-01,W0336,S1,C,6.0,0
OP100031,2025-04-16,W0071,S3,A,6.0,0
OP100038,2025-01-02,W0243,S3,E,13.0,0
OP100039,2025-01-30,W0001,S1,D,27.0,0
OP100040,2025-05-09,W0187,S3,A,39.0,1
OP100042,2025-05-07,W0465,S2,C,21.0,1
OP100043,2025-05-20,W0083,S2,E,34.0,0
OP100044,2025-04-16,W0442,S2,B,15.0,1
OP100045,2025-01-02,W0360,S2,C,5.0,0
OP100046,2025-06-14,W0063,S2,E,19.0,0
OP100048,2025-06-17,W0150,S2,B,12.0,0
OP100051,2025-03-02,W0433,S3,C,5.0,0
OP100053,2025-05-24,W0047,S1,E,10.0,1
OP100054,2025-04-14,W0335,S3,E,8.0,1
OP100056,2025-01-11,W0139,S3,C,41.0,0
OP100058,2025-02-04,W0269,S2,E,26.0,1
OP100063,2025-04-19,W0205,S3,C,29.0,0
OP100065,2025-02-02,W0376,S2,A,7.0,0
OP100069,2025-01-16,W0087,S2,A,30.0,1
OP100075,2025-05-23,W0496,S2,E,22.0,0
OP100081,2025-05-24,W0437,S1,A,25.0,0
OP100082,2025-01-22,W0128,S2,B,10.0,0
OP100085,2025-01-23,W0294,S2,E,24.0,0
OP100088,2025-03-17,W0483,S3,C,8.0,0
OP100089,2025-06-16,W0498,S3,E,40.0,1
OP100093,2025-02-12,W0468,S2,A,41.0,0
OP100094,2025-02-05,W0495,S2,E,11.0,1
OP100095,2025-06-08,W0294,S2,A,15.0,0
OP100100,2025-06-06,W0066,S2,E,45.0,0
OP100102,2025-02-18,W0173,S1,E,38.0,0
OP100107,2025-04-16,W0339,S2,C,34.0,0
OP100109,2025-05-22,W0292,S1,E,23.0,1
OP100112,2025-04-10,W0155,S3,E,3.0,0
OP100115,2025-01-24,W0427,S2,A,42.0,1
OP100117,2025-05-23,W0446,S3,B,29.0,1
OP100120,2025-06-10,W0312,S2,C,21.0,0
OP100122,2025-06-12,W0448,S2,E,47.0,0
OP100123,2025-05-07,W0341,S1,B,21.0,0
OP100124,2025-04-16,W0405,S2,C,13.0,1
OP100125,2025-03-10,W0374,S3,E,10.0,0
OP100126,2025-01-28,W0262,S2,D,17.0,0
OP100127,2025-02-03,W0052,S2,A,8.0,0
OP100131,2025-06-09,W0432,S2,B,6.0,1
OP100132,2025-03-26,W0247,S3,A,27.0,0
OP100133,2025-02-21,W0219,S3,B,6.0,0
OP100136,2025-02-23,W0310,S2,A,40.0,0
OP100138,2025-05-06,W0158,S3,B,19.0,0
OP100139,2025-03-01,W0322,S2,A,6.0,1
OP100140,2025-04-01,W0297,S2,D,49.0,1
OP100146,2025-04-02,W0051,S1,E,9.0,1
OP100148,2025-02-23,W0057,S1,B,6.0,0
OP100150,2025-03-11,W0168,S2,D,43.0,0
OP100153,2025-06-27,W0236,S1,B,12.0,0
OP100154,2025-01-06,W0312,S2,D,30.0,0
OP100156,2025-01-28,W0012,S2,D,5.0,0
OP100158,2025-03-21,W0088,S2,C,44.0,0
OP100159,2025-04-24,W0221,S1,C,35.0,0
OP100160,2025-01-08,W0377,S2,B,34.0,1
OP100162,2025-01-06,W0221,S1,C,6.0,0
OP100165,2025-02-18,W0289,S2,C,44.0,0
OP100166,2025-03-14,W0102,S3,A,15.0,1
OP100167,2025-05-22,W0314,S3,C,28.0,0
OP100172,2025-04-11,W0098,S2,B,19.0,0
OP100173,2025-06-29,W0333,S2,A,31.0,0
OP100175,2025-02-10,W0327,S2,A,40.0,0
OP100176,2025-02-28,W0227,S3,C,10.0,1
OP100181,2025-03-13,W0137,S3,D,34.0,0
OP100184,2025-03-11,W0136,S2,E,18.0,1
OP100185,2025-03-02,W0028,S3,C,35.0,0
OP100186,2025-05-17,W0190,S1,D,27.0,1
OP100194,2025-05-13,W0380,S1,D,43.0,1
OP100195,2025-01-20,W0295,S2,D,31.0,0
OP100197,2025-03-11,W0283,S3,A,24.0,0
OP100198,2025-05-09,W0252,S1,B,5.0,0
OP100199,2025-03-08,W0457,S3,B,37.0,0
OP100202,2025-05-06,W0217,S1,D,47.0,0
OP100203,2025-05-28,W0061,S3,C,44.0,0
OP100205,2025-01-01,W0146,S2,B,25.0,0
OP100207,2025-02-28,W0325,S3,C,33.0,0
OP100211,2025-01-02,W0079,S2,E,17.0,0
OP100212,2025-01-03,W0426,S2,C,8.0,0
OP100213,2025-04-13,W0423,S2,A,3.0,0
OP100215,2025-04-29,W0298,S2,C,3.0,0
OP100220,2025-05-17,W0440,S2,A,33.0,0
OP100222,2025-05-04,W0150,S1,E,47.0,1
OP100223,2025-06-05,W0192,S1,A,10.0,0
