shift,date,items_shipped
Evening,2025-01-01,415.0
Evening,2025-01-02,195.0
Evening,2025-01-03,311.0
Evening,2025-01-04,282.0
Evening,2025-01-05,172.0
Evening,2025-01-06,252.0
Evening,2025-01-07,295.0
Evening,2025-01-08,388.0
Evening,2025-01-09,377.0
Evening,2025-01-10,93.0
Evening,2025-01-11,472.0
Evening,2025-01-12,272.0
Evening,2025-01-13,184.0
Evening,2025-01-14,244.0
Evening,2025-01-15,300.0
Evening,2025-01-16,325.0
Evening,2025-01-17,444.0
Evening,2025-01-18,457.0
Evening,2025-01-19,286.0
Evening,2025-01-20,310.0
Evening,2025-01-21,182.0
Evening,2025-01-22,278.0
Evening,2025-01-23,426.0
Evening,2025-01-24,383.0
Evening,2025-01-25,248.0
Evening,2025-01-26,476.0
Evening,2025-01-27,390.0
Evening,2025-01-28,286.0
Evening,2025-01-29,359.0
Evening,2025-01-30,507.0
Evening,2025-01-31,173.0
Evening,2025-02-01,319.0
Evening,2025-02-02,267.0
Evening,2025-02-03,257.0
Evening,2025-02-04,159.0
Evening,2025-02-05,250.0
Evening,2025-02-06,333.0
Evening,2025-02-07,386.0
Evening,2025-02-08,331.0
Evening,2025-02-09,375.0
Evening,2025-02-10,296.0
Evening,2025-02-11,361.0
Evening,2025-02-12,315.0
Evening,2025-02-13,187.0
Evening,2025-02-14,146.0
Evening,2025-02-15,432.0
Evening,2025-02-16,191.0
Evening,2025-02-17,406.0
Evening,2025-02-18,310.0
Evening,2025-02-19,297.0
Evening,2025-02-20,361.0
Evening,2025-02-21,227.0
Evening,2025-02-22,407.0
Evening,2025-02-23,227.0
Evening,2025-02-24,447.0
Evening,2025-02-25,238.0
Evening,2025-02-26,356.0
Evening,2025-02-27,492.0
Evening,2025-02-28,342.0
Evening,2025-03-01,352.0
Evening,2025-03-02,307.0
Evening,2025-03-03,418.0
Evening,2025-03-04,367.0
Evening,2025-03-05,215.0
Evening,2025-03-06,364.0
Evening,2025-03-07,216.0
Evening,2025-03-08,427.0
Evening,2025-03-09,125.0
Evening,2025-03-10,289.0
Evening,2025-03-11,141.0
Evening,2025-03-12,143.0
Evening,2025-03-13,192.0
Evening,2025-03-14,307.0
Evening,2025-03-15,337.0
Evening,2025-03-16,251.0
Evening,2025-03-17,390.0
Evening,2025-03-18,333.0
Evening,2025-03-19,353.0
Evening,2025-03-20,396.0
Evening,2025-03-21,285.0
Evening,2025-03-22,270.0
Evening,2025-03-23,270.0
Evening,2025-03-24,315.0
Evening,2025-03-25,379.0
Evening,2025-03-26,252.0
Evening,2025-03-27,547.0
Evening,2025-03-28,181.0
Evening,2025-03-29,363.0
Evening,2025-03-30,274.0
Evening,2025-03-31,203.0
Evening,2025-04-01,306.0
Evening,2025-04-02,258.0
Evening,2025-04-03,240.0
Evening,2025-04-04,346.0
Evening,2025-04-05,297.0
Evening,2025-04-06,335.0
Evening,2025-04-07,205.0
Evening,2025-04-08,426.0
Evening,2025-04-09,353.0
Evening,2025-04-10,283.0
Evening,2025-04-11,376.0
Evening,2025-04-12,273.0
Evening,2025-04-13,263.0
Evening,2025-04-14,251.0
Evening,2025-04-15,446.0
Evening,2025-04-16,353.0
Evening,2025-04-17,357.0
Evening,2025-04-18,188.0
Evening,2025-04-19,242.0
Evening,2025-04-20,433.0
Evening,2025-04-21,393.0
Evening,2025-04-22,495.0
Evening,2025-04-23,180.0
Evening,2025-04-24,351.0
Evening,2025-04-25,259.0
Evening,2025-04-26,342.0
Evening,2025-04-27,332.0
Evening,2025-04-28,264.0
Evening,2025-04-29,421.0
Evening,2025-04-30,372.0
Evening,2025-05-01,390.0
Evening,2025-05-02,532.0
Evening,2025-05-03,201.0
Evening,2025-05-04,458.0
Evening,2025-05-05,399.0
Evening,2025-05-06,340.0
Evening,2025-05-07,377.0
Evening,2025-05-08,315.0
Evening,2025-05-09,378.0
Evening,2025-05-10,242.0
Evening,2025-05-11,321.0
Evening,2025-05-12,363.0
