worker_id,shift,date,shift_hours,utilization
W0001,Evening,2025-01-14,7.0,0.875
W0001,Evening,2025-01-15,10.0,1.25
W0001,Evening,2025-01-17,7.0,0.875
W0001,Evening,2025-02-25,9.0,1.125
W0001,Evening,2025-04-02,10.0,1.25
W0001,Evening,2025-04-07,7.0,0.875
W0001,Evening,2025-04-18,9.0,1.125
W0001,Evening,2025-04-29,6.0,0.75
W0001,Evening,2025-05-03,9.0,1.125
W0001,Morning,2025-01-25,7.0,0.875
W0001,Morning,2025-01-27,10.0,1.25
W0001,Morning,2025-01-29,8.0,1.0
W0001,Morning,2025-05-04,8.0,1.0
W0001,Morning,2025-05-15,10.0,1.25
W0001,Morning,2025-05-23,10.0,1.25
W0001,Morning,2025-05-24,6.0,0.75
W0001,Night,2025-01-06,9.0,1.125
W0001,Night,2025-01-07,8.0,1.0
W0001,Night,2025-02-07,6.0,0.75
W0001,Night,2025-02-11,8.0,1.0
W0001,Night,2025-02-17,8.0,1.0
W0001,Night,2025-03-12,9.0,1.125
W0001,Night,2025-03-14,6.0,0.75
W0001,Night,2025-04-02,8.0,1.0
W0001,Night,2025-04-08,9.0,1.125
W0001,Night,2025-04-12,10.0,1.25
W0001,Night,2025-04-26,9.0,1.125
W0001,Night,2025-05-22,10.0,1.25
W0001,Night,2025-06-06,9.0,1.125
W0001,Night,2025-06-07,6.0,0.75
W0001,Night,2025-06-13,7.0,0.875
W0001,Night,2025-06-21,9.0,1.125
W0001,Night,2025-06-22,6.0,0.75
W0002,Evening,2025-01-08,6.0,0.75
W0002,Evening,2025-01-09,9.0,1.125
W0002,Evening,2025-02-16,8.0,1.0
W0002,Evening,2025-03-01,7.0,0.875
W0002,Evening,2025-03-19,7.0,0.875
W0002,Evening,2025-04-17,8.0,1.0
W0002,Evening,2025-05-14,6.0,0.75
W0002,Evening,2025-06-18,8.0,1.0
W0002,Morning,2025-01-11,7.0,0.875
W0002,Morning,2025-01-12,10.0,1.25
W0002,Morning,2025-02-14,8.0,1.0
W0002,Morning,2025-02-26,8.0,1.0
W0002,Morning,2025-03-29,10.0,1.25
W0002,Night,2025-01-09,8.0,1.0
W0002,Night,2025-02-12,7.0,0.875
W0002,Night,2025-02-24,9.0,1.125
W0002,Night,2025-03-15,8.0,1.0
W0002,Night,2025-03-17,6.0,0.75
W0002,Night,2025-04-05,10.0,1.25
