worker_id,shift,date,total_items_picked,total_errors,total_items_processed,shift_hours,pick_rate,error_rate
W0001,Evening,2025-01-30,27.0,0,1,0.0,0.0,0.0
W0001,Evening,2025-03-06,26.0,0,1,0.0,0.0,0.0
W0001,Evening,2025-03-10,30.0,0,1,0.0,0.0,0.0
W0001,Evening,2025-06-02,38.0,0,1,0.0,0.0,0.0
W0001,Morning,2025-01-13,14.0,1,1,0.0,0.0,1.0
W0001,Morning,2025-01-26,36.0,0,1,0.0,0.0,0.0
W0001,Morning,2025-03-11,41.0,0,1,0.0,0.0,0.0
W0001,Morning,2025-04-13,19.0,1,1,0.0,0.0,1.0
W0001,Night,2025-02-21,9.0,0,1,0.0,0.0,0.0
W0001,Night,2025-03-11,4.0,1,1,0.0,0.0,1.0
W0001,Night,2025-03-17,25.0,1,1,0.0,0.0,1.0
W0001,Night,2025-03-18,25.0,0,1,0.0,0.0,0.0
W0001,Night,2025-04-11,33.0,0,1,0.0,0.0,0.0
W0001,Night,2025-04-16,20.0,1,1,0.0,0.0,1.0
W0001,Night,2025-04-21,18.0,1,1,0.0,0.0,1.0
W0002,Evening,2025-04-27,4.0,1,1,0.0,0.0,1.0
W0002,Morning,2025-02-21,32.0,0,1,0.0,0.0,0.0
W0002,Morning,2025-05-05,1.0,0,1,0.0,0.0,0.0
W0002,Morning,2025-06-16,5.0,1,1,0.0,0.0,1.0
W0002,Night,2025-01-30,32.0,0,1,0.0,0.0,0.0
W0002,Night,2025-02-27,40.0,0,1,0.0,0.0,0.0
W0002,Night,2025-04-07,34.0,0,1,0.0,0.0,0.0
W0002,Night,2025-05-13,5.0,0,1,0.0,0.0,0.0
W0002,Night,2025-05-14,19.0,0,1,0.0,0.0,0.0
W0003,Evening,2025-01-29,20.0,0,1,0.0,0.0,0.0
W0003,Evening,2025-03-20,26.0,0,1,0.0,0.0,0.0
W0003,Evening,2025-03-23,4.0,0,1,0.0,0.0,0.0
W0003,Evening,2025-05-17,3.0,1,1,0.0,0.0,1.0
W0003,Evening,2025-06-04,33.0,0,1,6.0,5.5,0.0
W0003,Morning,2025-01-07,11.0,1,1,0.0,0.0,1.0
W0003,Morning,2025-01-10,18.0,0,1,0.0,0.0,0.0
W0003,Morning,2025-01-18,3.0,0,1,0.0,0.0,0.0
W0003,Morning,2025-02-10,23.0,0,1,0.0,0.0,0.0
W0003,Morning,2025-03-13,23.0,0,1,0.0,0.0,0.0
W0003,Morning,2025-04-04,41.0,0,1,0.0,0.0,0.0
W0003,Morning,2025-04-06,44.0,0,1,0.0,0.0,0.0
W0003,Morning,2025-05-09,24.0,1,1,0.0,0.0,1.0
W0003,Morning,2025-05-31,36.0,0,1,0.0,0.0,0.0
W0003,Night,2025-03-12,30.0,1,1,0.0,0.0,1.0
W0003,Night,2025-04-10,38.0,0,1,0.0,0.0,0.0
W0003,Night,2025-04-23,16.0,0,1,0.0,0.0,0.0
W0003,Night,2025-05-11,33.0,0,1,6.0,5.5,0.0
